,Person,Hospital
977,李新毅,山西医学科学院山西大医院
977,李新毅,安徽中医药大学第一附属医院
978,周立春,首都医科大学朝阳医院
979,冀飞,解放军总医院
980,陈鹏,天津肿瘤医院
981,李雯,浙江大学医学院附属第二医院
982,毕清,云南省肿瘤医院
983,王琳,四川大学华西医院
983,王琳,海南省人民医院
983,王琳,华西医院
983,王琳,空军军医大学西京医院
984,蒋献,四川大学华西医院
985,程改平,四川大学华西医院
986,文翔,四川大学华西医院
986,文翔,中心解剖教研室
987,8薛丽,四川大学华西医院
988,李咏,四川大学华西医院
988,李咏,文中心解剖教研室
988,李咏,华西医院
989,胡文献,浙江大学医学院附属邵逸夫医院
990,张剑,复旦大学附属肿瘤医院
991,李文涛,上海交通大学附属胸科医院
992,林慧庆,武汉大学人民医院
993,史美祺,江苏省肿瘤医院
994,徐清华,上海肺科医院
995,杨金坡,河南省肿瘤医院
996,张太平,北京协和医院
997,杨尹默,北京大学第一医院
997,杨尹默,北京大学第-医院
998,陈启龙,新疆医科大学第一附属医院
999,郝继辉,天津医大肿瘤医院
999,郝继辉,天津医科大学肿瘤医院
1000,郭小超,北京大学第一医院
1001,李建宇,宣武医院
1001,李建宇,首都医科大学宣武医院
1002,薇诺娜,西京医院
1003,杨希川,陆军军医大学西南医院
1003,杨希川,第三军医大学西南医院
1003,杨希川,西南医院
1004,赵小敏,亚什兰上海创新技术中心
1005,刘兆林,丘市第五人民医院
1006,苏颖,北京首都医科大学胸科医院
1007,李力,陆军特色医学中心
1007,李力,附属第二医院
1007,李力,大坪医院
1008,姚煜,西安交通大学附属第一医院
1009,修位刚,四川大学华西医院
1010,罗诺,陆军特色医学中心
1011,宋扬,空军军医大学唐都医院
1012,朱江,四川大学华西医院
1012,朱江,四川省肿瘤医院
1013,刘喆,北京胸科医院
1014,胡艳萍,湖北省肿瘤医院
1015,赵宁,北京大学第一医院
1016,刘骏,北京朝阳医院
1017,马振友,马振友皮肤病研究所
1017,马振友,北京中医药大学东方医院
1018,吉顺荣,山东大学齐鲁医院
1019,蒋奎荣,南京医科大学第一附属医院
1020,陈晓峰,复旦大学附属华山医院
1021,王邵华,复旦大学附属华山医院
1021,王邵华,华山医院
1022,孙艺华,温州医科大学附属第一医院
1022,孙艺华,附属肿瘤医院
1023,刘瑜,复旦大学附属肿瘤医院
1023,刘瑜,温州医科大学附属第一医院
1024,陈文树,江西省胸科医院
1025,谢丛华,武汉大学中南医院
1025,谢丛华,作林同济大学附属东方医院
1026,刘莉,华中科技大学附属协和医院
1026,刘莉,徐州市儿童医院
1026,刘莉,武汉科技大学附属天佑医院
1027,牛媛媛,河南省肿瘤医院
1028,张错,华中科技大学附属协和医院
1029,王慧娟,河南省肿瘤医院
1030,魏宸铭,北京清华长庚医院
1031,张良玉,大庆油田总医院
1032,张凌云,附属第一医院
1033,刘广志,首都医科大学附属北京安贞医院
1033,刘广志,北京安贞医院
1034,张宏家,首都医科大学附属北京安贞医院
1035,郭秀海,首都医科大学宣武医院
1036,乔立艳,清华大学玉泉医院
1037,刘银红,北京医院
1038,刘尊敬,中日友好医院
1039,姜红,北京大学人民医院
1040,李晓晴,首都医科大学附属北京安贞医院
1041,何洋,北京大学人民医院
1042,刘丽旭,博爱医院
1043,高伟,北京大学首钢医院
1044,方丽波,复兴医院
1045,王建桥,廊坊市人民医院
1046,范承哲,首都医科大学附属北京安贞医院
1047,李福伦,上海中医药大学附属岳阳医院
1047,李福伦,上海中医药大学附属岳阳中西医结合医院
1048,王晓玲,复旦大学附属儿科医院
1048,王晓玲,首都医科大学附属北京儿童医院
1049,李际盛,山东大学齐鲁医院
1050,徐恩五,南部战区总医院
1051,乔贵宾,广东省人民医院
1052,张潮,广东省人民医院
1053,邹麟,湖南省肿瘤医院
1054,钟文昭,广东省人民医院
1054,钟文昭,广东省肺癌研究所
1055,郭麟,湖南省肿瘤医院
1056,王宝玺,中国医学科学院整形外科医院
1057,石建华,临沂市肿瘤医院
1058,赵光丽,兰陵县人民医院
1059,高永丽,临沂市人民医院
1060,徐广,五莲县人民医院
1061,谢加永,平邑人民医院
1062,张可,日照市人民医院
1063,王津,西京医院
1064,胡兰花,武汉大学人民医院
1065,王润青,郑州市中心医院
1066,洼田,郑州市中心医院
1066,洼田,郑州人民医院
1067,苏楠,北京友谊医院
1068,李航,北京大学第一医院
1068,李航,上海皮肤病医院
1068,李航,家皮肤与免疫疾病床医学中心
1068,李航,北大医院
1068,李航,华山医院
1069,洪震,复旦大学附属华山医院
1069,洪震,复旦大学华山医院
1070,郭艳珍,河南科技大学第一附属医院
1071,李娜,遂宁市中心医院
1072,祝鑫海,浙江医院
1073,项红,复旦大学附属华山医院
1074,陈佳,上海市皮肤病医院
1074,陈佳,南通市肿瘤医院
1075,袁超,上海市皮肤病医院
1075,袁超,上海市第九人民医院
1076,吴孙思,龙华医院
1077,魏爱华,北京同仁医院
1077,魏爱华,首都医科大学附属北京同仁医院
1078,张苏明,华中科技大学同济医学院附属同济医院
1079,朱武生,南京军区南京总医院
1079,朱武生,武汉市第一医院
1080,方璧,上海华山医院
1081,张玉生,南大学，医院
1082,高宝勤,北京天坛医院
1083,于康,北京协和医院
1083,于康,协和医院
1084,干康,北京协和医院
1085,何春霞,北京协和医院
1085,何春霞,中山大学附属肿瘤医院
1086,赵振伟,空军军医大学唐都医院
1087,罗琪,吉林大学白求恩第一医院
1088,蒋智林,北部战区总医院
1088,蒋智林,武汉市第一医院
1089,悠志勇,中国医科大学附属第一医院
1090,王宏磊,吉林大学第一医院
1091,陈锋,盛京医院
1092,藏培卓,中国医科大学附属第一医院
1093,刁宏宇,盛京医院
1094,于宏伟,盛京医院
1095,李志清,盛京医院
1096,刘云会,盛京医院
1097,梁国标,北部战区总医院
1098,张沂,珠江医院
1099,邓剑平,西安空军医院
1100,张传文,202医院
1101,陈亮宇,盛京医院
1102,陈春光,辽阳市中心医院
1103,周生儒,上海交通大学医学院附属瑞金医院
1104,乔建军,浙江大学医学院附属第一医院
1104,乔建军,浙江大学附属第一医院
1104,乔建军,浙江大学第一医院
1105,陈文雯,武汉市第一医院
1106,谢金标,上海市胸科医院
1106,谢金标,莆田学院附属医院
1107,钱若兵,安徽省立医院
1107,钱若兵,中国科学技术大学附属第一医院
1108,马英,复旦大学附属华山医院
1108,马英,马英复旦大学附属华山医院
1109,玛恩,重庆医科大学附属第三医院
1109,玛恩,东南大学附属徐州医院
1109,玛恩,玛恩皮肤微整形中心
1109,玛恩,济南玛恩皮肤医疗美容医院
1109,玛恩,重庆玛恩医疗美容医院
1110,徐广银,神经科学研究所
1111,刘先国,中山大学疼痛研究中心
1112,陈昆仑,郑州大学第，附属医院
1113,徐世国,浙江大学附属第一医院
1114,胡奇达,浙江大学附属第一医院
1115,贾建平,首都医科大学附属北京友谊医院
1115,贾建平,首都医科大学宣武医院
1116,王丽娟,广东省人民医院
1117,宁玉萍,广州脑科医院
1117,宁玉萍,广州惠爱医院
1118,王玉珍,陕西省肿瘤医院
1119,高宝安,宜昌市中心医院
1120,谭立君,哈尔滨医科大学附属第一医院
1121,张鹏宇,上海市第一人民医院
1122,张岩,附属同济医院
1122,张岩,同济大学附属同济医院
1123,戈霞晖,附属东方医院
1124,赵文,首都医科大学宣武医院
1125,张锡芹,山东省肿瘤医院
1126,王俊,江苏省人民医院
1127,许佳丽,江苏省人民医院
1128,李建华,西安交通大学第二附属医院
1129,陈曦,第九OO医院
1129,陈曦,福建省耳鼻咽喉研究所磁量研究室
1130,朱仕超,四川大学华西医院
1131,屈延,空军军医大学唐都医院
1132,李文斌,首都医科大学附属北京天坛医院
1132,李文斌,首都医科大学附属北京世纪坛医院
1133,陆嘉德,上海市质子重离子医院
1134,瓦里安,首都医科大学附属北京天坛医院
1135,李新钢,山东大学齐鲁医院
1136,冯华,重庆西南医院
1137,高尚锋,徐州医科大学附属医院
1138,董军,苏州大学附属第二医院
1139,张剑宁,海军总医院
1139,张剑宁,中国人民解放军总医院
1140,康春生,天津医科大学总医院
1141,蒋传路,哈尔滨医科大学第二医院
1142,王裕,北京协和医院
1143,林庆堂,北京宣武医院
1144,张军霞,江苏省人民医院
1145,周大彪,首都医科大学附属北京天坛医院
1146,王晓光,天津市肿瘤医院
1147,韩振民,赤峰学院附属医院
1148,吕中强,河北医科大学第二医院
1149,邱晓光,首都医科大学附属北京天坛医院
1149,邱晓光,北京天坛医院
1150,马晓东,华山脑胶质瘤中心
1151,杨学军,天津医科大学总医院
1152,刘志雄,中南大学湘雅医院
1153,丁瑶,浙江大学医学院附属第二医院
1153,丁瑶,郑州大学第一附属医院
1154,杨勤萍,复旦大学附属华山医院
1154,杨勤萍,北京大学人民医院
1154,杨勤萍,山医院
1155,刘俊芳,南方医科大学南方医院
1156,苏敏红,南方医科大学珠江医院
1157,李若虹,中日友好医院
1158,李冰,第四军医大学西京皮肤医院
1158,李冰,山东省立医院
1159,陈勇军,南方医科大学皮肤病医院
1159,陈勇军,州紫馨医疗美容医院
1160,陈言,西京皮肤医院
1161,唐教清,四川大学华西医院
1162,曹华,上海交通大学医学院附属瑞金医院
1162,曹华,197号瑞金医院
1162,曹华,瑞金医院
1163,杨勇,中国医学科学院皮肤病医院
1164,杨怡,解放军总医院
1165,耿龙,中国医科大学附属第一医院
1166,徐子刚,首都医科大学附属北京儿童医院
1166,徐子刚,武汉大学人民医院
1166,徐子刚,北京儿童医院
1166,徐子刚,华中科技大学同济医学院附属协和医院
1167,杨本涛,同仁医院
1168,丁大连,纽约州立大学布法罗分校听力及耳查中心
1169,王春雪,北京天坛医院
1169,王春雪,首都医科大学北京天坛医院
1169,王春雪,首都医科大学附属北京天坛医院
1170,贾宏博,空军航空医学研究所
1171,林能兴,华中科技大学同济医学院附属协和医院
1172,郭小花,北京恒兴肿瘤医院
1173,龙惠东,中山市人民医院
1174,冯晓博,上海新华医院
1175,刘盈,北京儿童医院
1175,刘盈,首都医科大学附属北京儿童医院
1176,白晓明,重庆儿童医院
1177,罗珍,深圳儿童医院
1178,茅乃权,广西医科大学附属肿瘤医院
1179,魏莉,临沂市人民医院
1180,郭善娴,江西省肿瘤医院
1181,陈凯,苏州大学附属第一医院
1181,陈凯,日照市人民医院
1182,王天成,兰州大学第二附属医院
1182,王天成,青海省妇女儿童医院
1183,张苍,首都医科大学附属北京中医医院
1183,张苍,首都医科大学附属中医医院
1184,何翔,上海中医药大学附属曙光医院
1185,惠志强,西安市第一医院
1186,孙秋宁,北京协和医院
1186,孙秋宁,华西医院
1186,孙秋宁,中国医学科学院北京协和医院
1187,周列民,中山大学中网第七医院
1187,周列民,中山大学附属第七医院
1187,周列民,中山大学附属第一医院
1188,栾琪,西安市第三医院
1188,栾琪,西北大学附属医院
1189,彭斌,北京协和医院
1190,李劲梅,四川大学华西医院
1190,李劲梅,华西医院
1191,乐嘉豫,上海市病理质控中心皮肤病理质控小组
1192,陈峰,北京协和医院
1193,唐丹,成都市龙泉驿区第一人民医院
1194,潘亚文,兰州大学第二医院
1195,宋剑平,复旦大学附属华山医院
1196,郝解贺,山西医科大学第一医院
1197,胡雪晴,北京医院
1198,井绪泉,山东省肿瘤医院
1199,秦颂兵,苏州大学附属第一医院
1200,朱军,江苏省肿瘤医院
1200,朱军,北京大学肿瘤医院
1201,易雪梅,上海市皮肤病医院
1202,勒强,上海交通大学医学院附属仁济医院
1202,勒强,上海交通大学附属仁济医院
1202,勒强,上海交通大学仁济医院
1202,勒强,武汉大学人民医院
1203,冉玉平,中国医学科学院北京协和医院
1203,冉玉平,四川大学华西医院
1203,冉玉平,华西医院
1204,丁杨峰,上海市皮肤病医院
1204,丁杨峰,同济大学附属皮肤病医院
1205,张文宏,复旦大学附属华山医院
1206,黄满丽,浙江大学医学院附属第一医院
1207,吕钦谕,上海市精神卫生中心
1208,陆光华,上海市精神卫生中心
1209,周清,广东省人民医院
1210,迟雨佳,北京大学肿瘤医院
1210,迟雨佳,北京肿瘤医院
1211,赵军,北京大学肿瘤医院
1211,赵军,中国康复研究中心北京博爱医院
1211,赵军,北京新里程医院
1211,赵军,北京肿瘤医院
1212,吴芳,中南大学湘雅二医院
1213,宋启斌,武汉大学人民医院
1214,袁双虎,山东省肿瘤医院
1215,王华,重庆医科大学附属儿童医院
1215,王华,儿童医院
1215,王华,中国医科大学附属盛京医院
1215,王华,中山大学附属，肿瘤医院
1216,沈柱,四川省人民医院
1217,夏建新,吉林大学第二医院
1217,夏建新,林大学第二医院
1217,夏建新,四川大学华西医院
1218,乐云辰,附属瑞金医院
1218,乐云辰,上海交通大学医学院附属瑞金医院
1219,郝飞,重庆医科大学附属第三医院
1219,郝飞,陆军军医大学西南医院
1219,郝飞,第三军医大学西南医院
1219,郝飞,西南医院
1219,郝飞,北京协和医院
1219,郝飞,重庆医科大学附属第三医院（捷尔医院
1220,耿松梅,西安交通大学第二附属医院
1220,耿松梅,皮肤病医院
1220,耿松梅,武汉协和医院
1220,耿松梅,复旦大学附属华山医院
1221,黎青山,海南省第五人员医院
1222,冶娟,青海大学附属医院
1223,党宁宁,哈尔滨医科大学附属第二医院
1223,党宁宁,山东第一医科大学附属省立医院
1224,龚春燕,中国医学科学院皮肤病医院
1225,王良录,北京协和医院
1226,李铁男,沈阳市第七人民医院
1226,李铁男,沈阳市皮肤病研究所
1227,邹岳,伽蓝集团研发中心
1228,周健,天津医科大学总医院
1228,周健,首都医科大学三博脑科医院
1228,周健,北京大学人民医院
1229,遇涛,天津市环湖医院
1229,遇涛,宣武医院
1230,李朝阳,山西省儿童医院
1231,张美云,天津市人民医院
1232,关宇光,首都医科大学三博脑科医院
1233,郭万军,四川大学华西医院
1234,孟昭婷,天津肿瘤医院
1234,孟昭婷,天津市肿瘤医院
1235,黄鼎智,天津肿瘤医院
1235,黄鼎智,天津市肿瘤医院
1236,蔡桑店,解放军第904医院
1237,夏国豪,江苏省肿瘤医院
1238,王赞,天津医科大学总医院
1238,王赞,吉林大学第一医院
1239,马建芳,上海交通大学瑞金医院
1240,陈贵海,安徽医科大学附属巢湖医院
1241,吕佩源,河北省人民医院
1242,吴士文,总医院
1242,吴士文,解放军总医院
1242,吴士文,中国人民解放军总医院
1243,赵钢,空军军医大学西京脑科医院
1243,赵钢,空军军医大学西京医院
1243,赵钢,第四军医大学西京医院
1243,赵钢,宁夏医科大学总医院
1244,韩翔,复旦大学附属华山医院
1244,韩翔,东方医院
1245,施福东,天津医科大学总医院
1246,张华,北京医院
1246,张华,西安交通大学第一附属医院
1246,张华,和平里医院
1247,宿英英,首都医科大学宣武医院
1247,宿英英,英首都医科大学宣武医院
1248,肖争,重庆医科大学附属第一医院
1249,曾非,华中科技大学同济医学院附属协和医院
1250,田仰华,广州市惠爱医院
1251,张昆南,江西省人民医院
1252,贾志荣,福建医科大学附属第一医院
1253,蔡斌,福建医科大学附属第，医院
1253,蔡斌,福建医科大学附属第一医院
1254,王贺波,河北省人民医院
1255,张晓莺,新疆生产建设兵团医院
1256,邹月丽,河北医科大学第二医院
1257,黄海威,中山大学附属第一医院
1258,刘智胜,武汉儿童医院
1259,吕发金,重庆医科大学附属第一医院
1260,姜玉武,北京大学第一医院
1260,姜玉武,台北荣民总医院
1261,陈蕾,四川大学华西医院
1261,陈蕾,天津市环湖医院
1262,庄震,清华大学附属北京清华长庚医院
1263,刁庆春,刁庆春重庆中医院
1263,刁庆春,重庆市中医院
1263,刁庆春,重庆市第一人民医院
1264,于倩,同济大学附属第十人民医院
1265,张凌李江,中日友好医院
1266,范振增,河北医科大学第二医院
1267,郭潇,北京协和医院
1268,韩晓宁,北京大学第一医院
1269,徐俊,北京天坛医院
1269,徐俊,江苏省苏北人民医院
1270,孟凡刚,北京天坛医院
1271,宋晖,复旦大学附属妇产科医院
1272,赵洪国,青岛大学附属医院
1273,葛峰,东南大学血液病研究所
1274,吴小建,上海市胸科医院
1275,许天文,福建医科大学附属第二医院
1276,宋毅军,协和医院
1276,宋毅军,天津医科大学总医院
1277,黄华品,天津医科大学总医院
1278,马莎,云南省第一人民医院
1279,罗新明,南昌大学第二附属医院
1280,蓝崧,茂名市人民医院
1281,赵明洁,第一附属医院
1282,郭燕军,首都医科大学附属北京友谊医院
1282,郭燕军,北京友谊医院
1283,阿尔茨海默,友谊医院
1283,阿尔茨海默,首都医科大学宣武医院
1283,阿尔茨海默,山西医科大学第一医院
1283,阿尔茨海默,美国国家衰老研究所
1283,阿尔茨海默,北京天坛医院
1283,阿尔茨海默,施焖首都医科大学附属北京天坛医院
1283,阿尔茨海默,福建医科大学附属协和医院
1284,李铁林,珠江医院
1285,冉梦龙,北京大学第一医院
1286,夏强,附属仁济医院
1286,夏强,上海交通大学医学院附属仁济医院
1287,刘泽兵,附属仁济医院
1288,肖秀英,附属仁济医院
1288,肖秀英,上海仁济医院
1289,李群,附属东方医院
1290,徐雁,北京协和医院
1291,刘亚欧,北京天坛医院
1292,陈玲,中山大学附属第一医院
1293,林金芳,复旦大学附属妇产科医院
1294,张曼,上海市第一人民医院
1295,范育伟,连云港市第一人民医院
1296,翁莺,江南大学附属医院
1297,卢忠,微整形中心
1297,卢忠,复旦大学附属华山医院
1298,曹立明,中南大学湘雅医院
1299,范云,浙江省肿瘤医院
1300,陈玮琪,国家会议中心
1300,陈玮琪,北京天坛医院
1301,赵达,兰州大学第一医院
1302,张艺,总医院肿瘤医院
1303,张旭霞,甘肃省人民医院
1304,李芳,宁夏医科大学总医院
1305,罗晓光,深圳市人民医院
1305,罗晓光,中国医科大学附属第一医院
1306,姚阳,附属第六人民医院
1307,陈佳艺,医学院附属瑞金医院
1307,陈佳艺,上海交大医学院附属瑞金医院
1308,郑向鹏,复旦大学附属肿瘤医院
1308,郑向鹏,复旦大学附属华东医院
1309,朱正飞,复旦大学附属华东医院
1309,朱正飞,复旦大学附属肿瘤医院
1310,沈倩雯,复旦大学附属华东医院
1311,唐毅,医科大学宣武医院
1311,唐毅,安徽医科大学第一附属医院
1311,唐毅,首都医科大学宣武医院
1311,唐毅,宣武医院
1312,郝学志,中国医学科学院肿瘤医院
1313,杨昱,陆军军医大学新桥医院
1314,王孟昭,北京协和医院
1315,徐燕,北京协和医院
1315,徐燕,福建医科大学附属协和医院
1316,刘潇衍,北京协和医院
1317,林尚宏,高雄长庚医院
1318,林孟盈,厦门长庚医院
1319,霍玉萍,厦门长庚医院
1320,张东,首都医科大学附属北京天坛医院
1320,张东,北京天坛医院
1321,金蔚涛,北京大学国际医院
1322,谭存鑫,東北京大学国际医院
1322,谭存鑫,北京大学国际医院
1323,王昊,首都医科大学附属北京天坛医院
1324,王硕,首都医科大学附属北京天坛医院
1325,赵元立,首都医科大学附属北京天坛医院
1326,康旭,广东省中医院
1327,简丹,中南大学湘雅医院
1327,简丹,湘雅医院
1328,李红毅,广东省中医院
1329,杜军保,北京大学第一医院
1330,谢宝强,赣州市立医院
1331,卢元元,南昌市第三医院
1332,郑年凤,贵溪市人民医院
1333,丛林,解放军总医院
1334,范宇混,陆军军医大学西南医院
1335,吴登艳,重庆医科大学附属第二医院
1336,黎海涛,陆军军医大学第一附属医院
1337,刘冰梅,黑龙江省医院
1338,孙莹,齐齐哈尔市中医院
1339,刘秀华,大庆市龙南医院
1340,李春光,齐齐哈尔市中医院
1341,葛兰,陆军军医大学西南医院
1342,雷霞,陆军军医大学大坪医院
1342,雷霞,第三军医大学大坪医院
1342,雷霞,第三，医大学大坪医院
1343,周汛,重庆市中医院
1344,翟志芳,陆军军医大学西南医院
1344,翟志芳,军军医大学西南医院
1345,陈瑾,重庆医科大学附属第一医院
1346,李卉,内蒙古自治区人民医院
1347,伍津津,中日医院
1347,伍津津,中国人民解放军陆军特色医学中心
1348,王磊,中日医院
1348,王磊,毛发医学中心
1348,王磊,中日友好医院
1348,王磊,潍坊市人民医院
1348,王磊,山东大学齐鲁医院
1348,王磊,哈尔滨医科大学附属第一医院
1348,王磊,天津医科大学第二医院
1349,翁心华,复旦大学附属华山医院
1350,朱晓芳,苏北人民医院
1351,张勇,上海长海医院
1351,张勇,中山医院
1351,张勇,附属中山医院
1352,李凯,江苏省中医院
1352,李凯,武汉市第一医院
1352,李凯,空军军医大学西京皮肤医院
1352,李凯,西京皮肤医院
1352,李凯,第四军医大学西京皮肤医院
1353,廖怡华,台大医院
1354,潘永正,江苏省中医院
1355,袁琳,江苏省中医院
1356,魏云飞,江苏省中医院
1357,包军,包军南京大学附属鼓楼医院
1358,芦桂青,南京明基医院
1359,张风,北京同仁医院
1360,张江安,中山大学第三附属医院
1360,张江安,郑州大学第一附属医院
1361,卢桂芳,西安交通大学第一附属医院
1361,卢桂芳,通大学第一附属医院
1362,崔丽英,北京协和医院
1362,崔丽英,中国医学科学院北京协和医院
1363,王珍,沈阳市第七人民医院
1364,田歌,沈阳市第七人民医院
1365,王宁利,北京同仁医院
1365,王宁利,同仁医院
1366,李文亮,武汉市中心医院
1367,郑俩燕,海南医学院第一附属医院
1368,陈恩国,浙江大学医学院附属邵逸夫医院
1368,陈恩国,邵逸夫医院
1369,顾康生,安徽医科大学第一附属医院
1370,蓝斌,汕头市中心医院
1371,刘建盛,上海第九人民医院
1372,林高民,林高民厦門弘愛医院
1373,杜晓萍,厦门弘爱医院
1374,郭军,北京大学肿瘤医院
1375,吴信峰,中国医学科学院皮肤病医院
1376,肖泽民,常德市第一人民医院
1377,王彩莲,东南大学附属中大医院
1378,赵丽娜,|空军军医大学第一附属医院
1378,赵丽娜,宣武医院
1379,林忠,中山大学附属第五医院
1380,吴国明,陆军军医大学附属新桥医院
1381,赵征,陕西省肿瘤医院
1382,许川,四川省肿瘤医院
1383,张嵩,山东省立医院
1384,张高,山东省立医院
1385,杨年,四川省人民医院
1385,杨年,四川省人民医房机路人中心
1386,郑丽华,中日友好医院
1387,孟宪滨,999急救中心急诊科
1388,周书晴,汉中宁强县医院
1389,张艳辉,平昌县人民医院
1390,惠晓芸,武威市人名医院
1391,王贵英,河北医科大学第三医院
1392,刘俊艳,河北医科大学第三医院
1393,刘洋,北京协和医院
1393,刘洋,中国医科大学附属第一医院
1394,石秀玉,中国人民解放军总医院
1395,王媛媛,南方医院
1395,王媛媛,大连医科大学附属第二医院
1396,李勇,附属协和医院
1396,李勇,佛山市第一人民医院
1397,尚利华,肿瘤医院
1398,马胜林,浙江大学医学院附属杭州市第一人民医院
1399,张建勇,遵义医学院附属医院
1400,裴小锋,中山大学附属第五医院
1401,俞婷婷,新疆医科大学附属肿瘤医院
1402,董健,复旦大学附属中山医院
1403,滕兰波,中国人民解放军第202医院
1404,李元文,北京中医药大学东方医院
1405,叶定伟,复旦大学附属肿瘤医院
1405,叶定伟,前列腺肿瘤诊治中心
1406,高兴华,中国医科大学附属第一医院
1406,高兴华,中国医科大学第一附属医院
1406,高兴华,复旦大学附属华山医院
1406,高兴华,高兴华第一医院
1406,高兴华,附属皮肤病医院
1407,徐学刚,中国医科大学附属第一医院
1408,邢岩,中国医科大学航空总医院
1408,邢岩,航空总医院
1409,元慧杰,上海交通大学医学院附属瑞金医院
1410,刘娜,肉芽肿瑞金医院
1411,汤涛,和部人事考试中心
1412,武力勇,北京协和医院
1412,武力勇,首都医科大学宣武医院
1413,张星虎,首都医科大学宣武医院
1413,张星虎,北京天坛医院
1414,薛青,首都医科大学宣武医院
1415,武晓莉,上海交通大学医学院附广第九人民医院
1416,董继英,上海交通大学医学院附属第九人民医院
1417,陈美琴,湖州市中心医院
1418,叶晓奇,浙江大学医学院附属第四医院
1419,王莉萍,浙江省人民医院
1420,吴冰冰,浙江大学医学院附属第四医院
1421,王义荣,浙江大学医学院附属邵逸夫医院
1422,邱华辉,舟山人民医院
1423,吴建跃,杭州师范大学附属医院
1423,吴建跃,浙江师范大学附属医院
1424,沈国良,台州市第一人民医院
1425,张建民,浙江大学医学院附属第二医院
1426,詹仁雅,浙江大学医学院附属第一医院
1427,郑伟明,温州医科大学附属第一医院
1428,袁坚列,金华市中心医院
1429,戴伟民,衢州人民医院
1430,胡小铭,台州医院
1431,王卫民,杭州师范大学附属医院
1432,丁方,宁波李惠利医院
1433,沈志鹏,浙江大学附属儿童医院
1434,张宇,温州医科大学附属第一医院
1434,张宇,天津市中医药研究院附属医院
1434,张宇,四川省人民医院
1434,张宇,南京市胸科医院
1435,王新东,宁波大学医学院附属医院
1436,周跃,湖州市中心医院
1437,苏忠周,湖州市中心医院
1438,杨树旭,浙江大学医学院附属邵逸夫医院
1439,闫伟,浙江大学医学院附属第二医院
1440,陈旭东,丽水市人民医院
1441,周衡俊,浙江大学附属第一医院
1442,陈毅力,浙江大学医学院附属第四医院
1443,郑喆,浙江大学医学院附属第二医院
1444,汪吉新,衡化医院
1445,沈建国,嘉兴市第二人民医院
1446,王林,浙江大学附属第二医院
1447,刘凤强,浙江大学医学院附属第二医院
1448,陈茂华,温州市中心医院
1449,李湖广,丽水市人民医院
1450,王胜虎,浙江大学医学院附属第四医院
1451,袁媛,浙江大学医学院附属第二医院
1451,袁媛,新疆医科大学第一附属医院
1452,周娜,浙江大学医学院附属邵逸夫医院
1453,张伟梅,温州医科大学附属第一医院
1454,张中原,哈尔滨医科大学附属第，医院
1455,金丽日,北京协和医院
1456,连亚军,郑州大学第一附属医院
1457,姚丽芬,山东大学齐鲁医院
1457,姚丽芬,哈尔滨医科大学附属第一医院
1458,夏晓雪,江苏省南通市通州区人民医院
1459,马琳,SGS（中国）检测中心
1459,马琳,北京儿童医院
1459,马琳,首都医科大学附属北京儿童医院
1459,马琳,儿童医学中心
1460,周洁白,复旦大学附属中山医院
1460,周洁白,上海中山医院
1461,蒋保,福建省肿瘤医院
1462,马宁,中国颜内动脉狭窄支架治疗多中心
1463,陈军生,中山市人民医院
1463,陈军生,广东省中山市人民医院
1463,陈军生,中山大学附属中山医院
1464,吕雪莲,北京军区总医院
1464,吕雪莲,附属北京安贞医院
1465,段长恩,三甲医院
1466,冉昕,四川大学华西医院
1467,杨利蓉,四川大学华西医院
1468,王振军,白首都医科大学附属北京朝阳，阳医院
1469,徐永革,北京陆军总医院·附属八一脑科医院
1470,杨林,深圳市人民医院
1471,王学民,上海皮肤病医院
1472,杨酸,中国陆军军区总医院
1472,杨酸,中国中山大学第三医院
1472,杨酸,中国华西医院
1472,杨酸,中国北京北大医院
1473,梁寒,天津医科大学附属肿瘤医院
1474,陈漂,中国人民解放军总医院
1474,陈漂,天津医科大学附属肿瘤医院
1475,吴迪,吉林大学第一医院
1475,吴迪,中国人民解放军总医院
1475,吴迪,赤峰市医院
1475,吴迪,深圳市人民医院
1475,吴迪,江苏省人民医院
1476,王权,吉林大学第一医院
1477,何亮,新疆医科大学第一附属医院
1478,许新才,新疆医科大学第一附属医院
1479,曹雪源,吉林大学第一医院
1480,纪超,附属第一医院
1480,纪超,福建医科大学附属第一医院
1481,周峻,福建省立医院
1482,陈锦安,中国人民解放军总医院
1483,谢宏彬,空军军医大学西京医院
1484,余力,广东省第二人民医院
1484,余力,人民医院
1485,王艇,南方医科大学南方医院
1485,王艇,四川大学华西医院
1486,张曦,空军军医大学西京医院
1487,薛志强,中日友好医院
1487,薛志强,解放军总医院
1487,薛志强,中国人民解放军总医院
1488,赵健芳,北京大学第三医院
1489,李任,重庆华美整形美容医院
1490,王欢,中国医学科学院整形外科医院
1491,陈明,东南大学附属中大医院
1491,陈明,四川省人民医院
1492,王忠堂,广州曙光医院
1493,谭军,中国人民解放军总医院
1494,罗盛康,广东省第二人民医院
1495,林晓曦,人民医院
1496,陈滑,18.国家卫生健康委员会急诊医学质控中心
1497,张谦,首都医科大学附属北京天坛医院
1498,辛勒,首都医科大学天坛，医院
1499,康明强,华中科技大学同济医学院附属协和医院
1499,康明强,附属协和医院
1500,王春国,浙江省台州医院
1500,王春国,台州医院
1501,王鑫鑫,浙江省台州医院
